,gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Bcell_mean,NKcell_mean,Hepatocytes_mean,Monocytes_mean,MouseNeuorons_mean,Max_halflife
101,ADD3,97.37299999999999,good,0.975,111.35799999999999,good,0.996,99.366,good,0.995,81.77600000000001,good,0.996,,,,,,,56.003,good,0.987,65.532,weak,0.9520000000000001,35.672,good,1.0,45.183,good,1.0,104.3655,90.571,,60.7675,40.427499999999995,104.3655
102,ADH5,214.356,good,0.972,266.816,good,0.998,471.586,good,0.853,404.42400000000004,good,0.996,,,,,,,,,,,,,96.05,good,0.9990000000000001,117.37200000000001,good,0.996,240.58599999999998,438.005,,,106.71100000000001,438.005
103,ADI1,,,,,,,,,,,,,484.925,weak,0.9890000000000001,736.915,weak,0.922,19.604,weak,0.9840000000000001,13.61,weak,0.9940000000000001,42.075,weak,0.996,45.228,weak,0.9540000000000001,,,610.92,16.607,43.6515,610.92
104,ADK,337.645,good,0.919,582.047,good,0.992,,,,,,,1135.961,weak,0.9640000000000001,1690.8139999999999,weak,0.9229999999999999,63.328,good,0.995,56.727,good,0.992,62.006,weak,0.932,76.11399999999999,good,1.0,459.846,,1413.3874999999998,60.0275,69.06,1413.3874999999998
105,ADNP,41.956,good,0.9840000000000001,45.03,good,0.9990000000000001,,,,62.09,good,0.995,19.344,weak,1.0,19.833,good,0.9690000000000001,39.422,good,0.986,34.494,weak,0.992,20.648000000000003,good,0.9990000000000001,23.124000000000002,good,1.0,43.493,62.09,19.5885,36.958,21.886000000000003,62.09
106,ADO,90.461,weak,0.987,112.948,good,0.991,,,,235.14700000000002,good,0.972,,,,,,,61.663000000000004,weak,0.987,48.905,weak,0.988,48.496,good,0.998,58.301,good,0.9990000000000001,101.7045,235.14700000000002,,55.284000000000006,53.3985,235.14700000000002
107,ADPGK,188.507,weak,0.9520000000000001,227.982,good,0.968,,,,306.249,good,0.894,,,,161.453,weak,0.9470000000000001,113.14,good,0.983,85.24600000000001,good,0.981,106.838,good,0.993,104.09899999999999,good,0.996,208.24450000000002,306.249,161.453,99.19300000000001,105.46849999999999,306.249
108,ADPRH,115.478,weak,0.9129999999999999,131.47299999999998,weak,0.963,,,,,,,,,,,,,,,,,,,63.045,good,0.996,75.939,good,1.0,123.47549999999998,,,,69.49199999999999,123.47549999999998
109,ADPRHL2,,,,324.45599999999996,weak,0.9640000000000001,494.727,weak,0.915,362.332,weak,0.915,125.314,weak,0.91,,,,103.22200000000001,weak,0.9790000000000001,78.294,weak,0.9840000000000001,,,,,,,324.45599999999996,428.5295,125.314,90.75800000000001,,428.5295
110,ADRBK1,51.114,good,0.991,52.378,good,0.9990000000000001,84.398,good,0.997,71.999,good,0.9990000000000001,,,,,,,73.446,good,0.981,61.495,good,0.976,29.265,good,1.0,34.051,good,0.9990000000000001,51.745999999999995,78.1985,,67.4705,31.658,78.1985
111,ADRBK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.908,weak,0.98,,,,,27.908,27.908
112,ADRM1,51.558,good,0.997,58.256,good,0.9990000000000001,157.827,good,0.995,126.704,weak,0.997,72.339,weak,0.9440000000000001,102.27799999999999,weak,0.988,54.61,good,0.991,50.248999999999995,good,0.9940000000000001,,,,,,,54.907,142.2655,87.3085,52.4295,,142.2655
113,ADSL,76.012,good,0.966,122.40700000000001,good,0.998,,,,652.137,weak,0.912,,,,204.145,weak,0.995,169.204,weak,0.9690000000000001,124.34,good,0.971,88.941,good,0.966,107.756,good,0.9990000000000001,99.2095,652.137,204.145,146.772,98.3485,652.137
114,ADSS,48.253,weak,0.992,56.787,good,1.0,114.557,good,0.9990000000000001,100.82799999999999,good,0.9990000000000001,,,,,,,46.718999999999994,weak,0.958,55.723,good,0.99,48.403999999999996,good,0.998,54.974,good,0.998,52.519999999999996,107.6925,,51.221,51.68899999999999,107.6925
115,AES,20.136,weak,0.98,,,,,,,16.479,weak,0.99,,,,,,,,,,,,,,,,,,,20.136,16.479,,,,20.136
116,AFF1,19.869,weak,0.8859999999999999,,,,,,,,,,,,,,,,16.945999999999998,weak,0.956,16.997,weak,0.93,,,,,,,19.869,,,16.9715,,19.869
117,AFF3,,,,15.811,weak,0.934,,,,,,,,,,,,,,,,,,,,,,,,,15.811,,,,,15.811
118,AFF4,50.685,weak,0.91,34.830999999999996,weak,0.983,,,,49.836999999999996,weak,0.9990000000000001,,,,,,,,,,22.404,weak,0.976,13.394,weak,0.9009999999999999,17.741,good,0.879,42.757999999999996,49.836999999999996,,22.404,15.567499999999999,49.836999999999996
119,AFG3L2,155.036,good,0.975,191.951,good,0.9990000000000001,477.246,good,0.97,387.67199999999997,good,0.9179999999999999,147.709,good,0.996,162.02100000000002,good,0.9990000000000001,146.437,good,0.9940000000000001,101.646,good,0.9790000000000001,66.207,good,1.0,79.539,good,0.9990000000000001,173.49349999999998,432.45899999999995,154.865,124.04150000000001,72.87299999999999,432.45899999999995
120,AFM,,,,,,,,,,,,,21.447,good,0.9359999999999999,22.671999999999997,good,0.9740000000000001,,,,,,,,,,,,,,,22.0595,,,22.0595
121,AFTPH,26.404,good,0.9690000000000001,30.283,good,0.997,,,,35.805,weak,0.938,48.512,weak,0.998,,,,30.868000000000002,weak,0.948,,,,26.789,good,0.998,32.534,good,0.998,28.3435,35.805,48.512,30.868000000000002,29.6615,48.512
122,AGA,,,,,,,,,,,,,40.784,weak,0.987,53.985,good,0.847,,,,138.12,weak,0.9329999999999999,,,,133.566,weak,0.889,,,47.3845,138.12,133.566,138.12
123,AGAP2,65.852,weak,0.9570000000000001,71.113,weak,0.996,115.016,good,0.993,100.815,good,0.996,,,,,,,32.647,weak,0.9690000000000001,90.708,weak,0.9159999999999999,29.609,good,1.0,36.903,good,0.9990000000000001,68.4825,107.91550000000001,,61.677499999999995,33.256,107.91550000000001
124,AGAP3,,,,,,,,,,,,,,,,,,,28.746,weak,0.94,20.483,weak,0.991,34.934,good,0.998,42.31100000000001,good,1.0,,,,24.6145,38.6225,38.6225
125,AGFG1,51.261,weak,0.976,63.975,good,0.9940000000000001,160.374,weak,0.958,167.53,weak,0.966,46.20399999999999,weak,0.903,47.013000000000005,weak,0.94,78.21600000000001,weak,0.981,76.432,weak,0.9690000000000001,43.065,good,1.0,54.486999999999995,good,1.0,57.618,163.952,46.6085,77.32400000000001,48.775999999999996,163.952
126,AGK,,,,236.33700000000002,weak,0.941,,,,,,,138.431,good,0.997,134.274,good,1.0,,,,,,,72.541,good,1.0,91.164,good,0.996,236.33700000000002,,136.35250000000002,,81.85249999999999,236.33700000000002
127,AGL,125.09299999999999,good,0.981,148.826,good,0.997,,,,,,,319.73400000000004,good,0.997,339.121,good,0.986,139.641,good,0.9179999999999999,,,,,,,69.57600000000001,good,1.0,136.9595,,329.4275,139.641,69.57600000000001,329.4275
128,AGMAT,187.41299999999998,weak,0.987,,,,,,,,,,519.876,good,0.94,549.405,good,0.975,,,,,,,,,,,,,187.41299999999998,,534.6405,,,534.6405
129,AGO1,,,,,,,,,,,,,,,,,,,118.016,weak,0.953,109.12700000000001,good,0.995,89.465,good,0.905,122.286,good,0.927,,,,113.57150000000001,105.8755,113.57150000000001
130,AGO2,88.887,weak,0.976,103.68799999999999,weak,0.948,518.07,good,0.909,216.90900000000002,weak,0.981,,,,,,,102.165,weak,0.94,93.527,weak,0.9359999999999999,82.281,weak,0.987,80.883,good,0.9790000000000001,96.2875,367.4895,,97.846,81.582,367.4895
131,AGO3,,,,274.658,weak,0.9129999999999999,,,,,,,,,,,,,,,,,,,,,,,,,274.658,,,,,274.658
132,AGPAT1,,,,,,,,,,,,,,,,,,,,,,,,,63.563,weak,0.981,54.736999999999995,good,0.995,,,,,59.15,59.15
133,AGPAT3,,,,,,,,,,,,,108.306,good,0.997,99.359,good,0.9890000000000001,84.35799999999999,weak,0.872,,,,50.218999999999994,good,0.996,62.659,good,1.0,,,103.8325,84.35799999999999,56.43899999999999,103.8325
134,AGPAT5,326.35200000000003,weak,0.9940000000000001,,,,568.594,weak,0.9390000000000001,,,,,,,270.842,good,0.922,113.196,weak,0.985,77.882,weak,0.9440000000000001,,,,51.226000000000006,good,0.9390000000000001,326.35200000000003,568.594,270.842,95.539,51.226000000000006,568.594
135,AGPAT6,33.196,weak,0.993,,,,,,,,,,31.42,weak,0.972,32.62,weak,0.858,,,,30.733,weak,0.992,,,,,,,33.196,,32.019999999999996,30.733,,33.196
136,AGPS,,,,,,,,,,136.704,weak,0.91,70.346,good,0.9940000000000001,67.626,good,0.992,83.814,good,0.956,65.14699999999999,good,0.965,43.692,good,0.993,50.846000000000004,good,0.996,,136.704,68.986,74.48049999999999,47.269000000000005,136.704
137,AGTPBP1,,,,,,,,,,76.914,weak,0.848,,,,,,,,,,58.615,good,0.872,25.388,good,0.996,30.500999999999998,good,1.0,,76.914,,58.615,27.944499999999998,76.914
138,AGTRAP,,,,300.889,weak,0.877,,,,445.835,weak,0.9890000000000001,,,,,,,169.739,weak,0.9890000000000001,278.334,weak,1.0,,,,,,,300.889,445.835,,224.0365,,445.835
139,AHCTF1,91.695,good,0.995,86.507,good,0.9990000000000001,128.592,good,0.9890000000000001,119.31299999999999,good,0.997,21.668000000000003,good,0.9840000000000001,21.875,good,0.996,61.166000000000004,good,0.9790000000000001,60.406000000000006,good,0.992,40.796,good,0.996,40.035,good,0.986,89.101,123.9525,21.771500000000003,60.786,40.415499999999994,123.9525
140,AHCY,135.53,good,0.9640000000000001,185.49900000000002,good,0.996,,,,941.831,good,0.95,,,,,,,120.648,good,0.937,89.17399999999999,good,0.941,134.786,good,0.997,140.259,good,0.9990000000000001,160.5145,941.831,,104.911,137.52249999999998,941.831
141,AHCYL1,55.43600000000001,weak,0.992,60.992,good,0.998,181.85,weak,0.996,134.857,weak,1.0,38.719,good,0.9990000000000001,43.278,good,0.975,,,,48.328,weak,0.988,32.069,good,0.9990000000000001,40.923,good,1.0,58.214,158.3535,40.9985,48.328,36.496,158.3535
142,AHCYL2,146.007,weak,0.865,,,,,,,,,,,,,,,,,,,106.348,weak,0.987,37.504,good,0.9990000000000001,43.27,good,0.9990000000000001,146.007,,,106.348,40.387,146.007
143,AHNAK,93.57600000000001,good,0.988,84.601,good,0.991,120.60600000000001,good,0.99,80.135,good,0.99,32.335,good,0.9990000000000001,30.38,good,0.9990000000000001,35.271,good,0.9990000000000001,34.062,good,0.996,46.658,good,0.945,46.477,good,0.9740000000000001,89.08850000000001,100.3705,31.3575,34.6665,46.567499999999995,100.3705
144,AHSA1,40.678000000000004,good,0.9940000000000001,47.672,good,1.0,136.566,good,0.9570000000000001,119.31299999999999,weak,0.972,159.997,weak,0.862,,,,47.532,weak,0.983,41.575,good,0.9940000000000001,45.858000000000004,good,0.995,56.286,good,1.0,44.175,127.9395,159.997,44.5535,51.072,159.997
145,AHSG,,,,,,,,,,,,,,,,22.573,good,0.9059999999999999,,,,,,,,,,,,,,,22.573,,,22.573
146,AIDA,126.209,good,0.995,125.76100000000001,weak,0.9940000000000001,,,,137.14700000000002,weak,0.9329999999999999,,,,,,,11.252,weak,0.85,49.195,weak,0.99,68.883,good,0.997,82.397,good,0.9990000000000001,125.98500000000001,137.14700000000002,,30.2235,75.64,137.14700000000002
147,AIFM1,216.543,good,0.975,262.269,good,0.9890000000000001,,,,520.663,good,0.9990000000000001,179.945,good,0.998,188.91299999999998,good,0.996,160.65,good,0.903,128.157,good,0.953,115.00299999999999,good,0.9990000000000001,137.628,good,0.998,239.406,520.663,184.42899999999997,144.4035,126.31549999999999,520.663
148,AIG1,,,,,,,,,,,,,,,,192.687,weak,0.872,,,,,,,,,,,,,,,192.687,,,192.687
149,AIM1,65.723,good,0.986,67.485,good,0.991,,,,99.47200000000001,weak,0.8859999999999999,25.395,weak,0.991,27.250999999999998,good,0.9840000000000001,81.335,good,0.987,69.635,good,0.9940000000000001,,,,,,,66.604,99.47200000000001,26.323,75.485,,99.47200000000001
150,AIMP1,76.295,weak,0.987,97.40799999999999,good,0.997,290.753,weak,0.885,316.335,weak,0.9890000000000001,146.512,good,0.987,164.053,good,0.985,102.681,good,0.981,90.419,good,0.995,49.521,good,1.0,65.487,good,0.9990000000000001,86.85149999999999,303.544,155.2825,96.55,57.504,303.544
151,AIMP2,60.716,weak,0.966,76.86,weak,0.973,377.05300000000005,weak,0.904,,,,170.94400000000002,good,0.992,170.138,good,0.9840000000000001,,,,68.66,weak,0.9129999999999999,63.812,good,0.9890000000000001,67.91,good,0.998,68.788,377.05300000000005,170.541,68.66,65.86099999999999,377.05300000000005
152,AIP,55.147,good,0.995,60.157,good,0.996,140.056,good,0.997,120.554,good,0.998,,,,,,,62.845,good,0.9790000000000001,56.211000000000006,good,0.991,34.832,good,1.0,41.832,good,0.998,57.652,130.305,,59.528000000000006,38.332,130.305
153,AK1,,,,,,,,,,,,,,,,,,,478.585,weak,0.9059999999999999,190.317,weak,0.9670000000000001,61.157,good,0.993,69.794,good,0.99,,,,334.451,65.4755,334.451
154,AK2,159.22899999999998,good,0.937,269.267,good,0.998,882.23,good,0.997,925.252,good,0.972,194.375,good,0.9990000000000001,184.09,good,0.9990000000000001,,,,333.27099999999996,good,0.977,151.145,good,0.992,156.214,good,0.9990000000000001,214.248,903.741,189.23250000000002,333.27099999999996,153.67950000000002,903.741
155,AK3,447.505,weak,0.9840000000000001,460.58,good,0.9940000000000001,,,,,,,199.838,good,0.991,199.455,good,0.988,,,,,,,91.84100000000001,good,0.996,106.10600000000001,good,0.993,454.0425,,199.6465,,98.9735,454.0425
156,AKAP1,,,,,,,,,,,,,43.353,good,0.997,42.693000000000005,good,0.995,,,,,,,23.379,good,1.0,28.761999999999997,good,0.998,,,43.023,,26.0705,43.023
157,AKAP10,,,,,,,,,,,,,,,,,,,65.566,weak,0.988,,,,,,,48.498999999999995,good,0.9940000000000001,,,,65.566,48.498999999999995,65.566
158,AKAP11,20.879,weak,0.992,22.97,good,0.996,,,,,,,,,,,,,16.219,weak,0.937,,,,,,,10.914000000000001,good,0.851,21.924500000000002,,,16.219,10.914000000000001,21.924500000000002
159,AKAP13,50.567,good,0.998,54.06399999999999,good,1.0,56.795,good,0.997,52.631,good,0.997,33.864000000000004,good,0.991,31.003,good,0.993,50.878,good,0.9690000000000001,47.815,good,0.988,,,,,,,52.3155,54.713,32.4335,49.3465,,54.713
160,AKAP17A,47.262,weak,0.986,60.169,weak,0.912,135.752,weak,0.977,142.97899999999998,weak,0.981,34.955999999999996,good,0.997,43.339,good,0.996,62.333999999999996,weak,0.987,50.629,good,0.992,,,,,,,53.7155,139.3655,39.147499999999994,56.4815,,139.3655
161,AKAP2,47.52,good,0.993,44.245,good,0.9990000000000001,,,,,,,24.608,good,0.9840000000000001,24.598000000000003,weak,0.992,,,,,,,,,,,,,45.8825,,24.603,,,45.8825
162,AKAP7,,,,,,,,,,,,,,,,,,,,,,,,,40.756,weak,0.998,50.217,good,1.0,,,,,45.4865,45.4865
163,AKAP8,69.882,good,0.99,,,,273.996,weak,0.9940000000000001,181.315,weak,0.956,29.804000000000002,weak,0.8759999999999999,39.359,good,0.971,75.782,good,0.99,62.593999999999994,weak,0.938,45.701,good,0.99,50.093,good,0.995,69.882,227.6555,34.581500000000005,69.18799999999999,47.897000000000006,227.6555
164,AKAP8L,91.7,weak,0.996,101.256,weak,0.975,,,,,,,27.698,good,0.997,26.355,weak,0.953,,,,60.986000000000004,weak,0.988,32.184,weak,0.992,33.46,good,0.995,96.47800000000001,,27.0265,60.986000000000004,32.822,96.47800000000001
165,AKAP9,34.852,good,0.9470000000000001,36.339,good,0.998,58.552,weak,0.8859999999999999,,,,30.421999999999997,good,0.998,32.266999999999996,good,0.9990000000000001,51.778999999999996,good,0.937,35.625,good,0.983,22.998,good,0.997,24.585,good,0.997,35.5955,58.552,31.344499999999996,43.702,23.7915,58.552
166,AKNA,21.305999999999997,good,0.955,19.654,weak,0.997,21.368000000000002,good,0.991,18.247,good,0.99,,,,,,,,,,,,,,,,,,,20.479999999999997,19.8075,,,,20.479999999999997
167,AKR1A1,110.90299999999999,good,0.966,158.393,good,0.992,865.637,good,0.972,437.26199999999994,good,0.998,,,,,,,60.501999999999995,good,0.9840000000000001,49.913000000000004,good,0.9890000000000001,64.791,good,1.0,67.49,good,0.9990000000000001,134.648,651.4495,,55.207499999999996,66.1405,651.4495
168,AKR1B1,226.405,good,0.9890000000000001,254.421,good,0.9990000000000001,624.021,good,0.997,490.392,good,0.9990000000000001,,,,,,,,,,160.63,weak,0.972,,,,,,,240.413,557.2065,,160.63,,557.2065
169,AKR7A2,274.558,good,0.992,289.144,good,0.997,410.605,weak,0.95,387.714,weak,0.985,312.203,weak,0.897,474.181,good,0.855,316.58,weak,0.998,226.30700000000002,good,0.976,88.181,weak,0.9490000000000001,130.429,good,0.993,281.851,399.1595,393.192,271.4435,109.305,399.1595
170,AKT1,,,,,,,240.91299999999998,good,0.912,,,,,,,,,,66.858,good,0.995,42.727,good,0.8540000000000001,38.94,good,1.0,47.853,good,0.997,,240.91299999999998,,54.792500000000004,43.3965,240.91299999999998
171,AKT1S1,,,,,,,,,,,,,,,,,,,,,,,,,43.412,weak,0.892,61.443999999999996,weak,0.899,,,,,52.428,52.428
172,AKT2,44.288000000000004,good,0.992,,,,62.021,weak,0.9740000000000001,95.277,weak,0.992,,,,,,,63.827,weak,0.993,41.086000000000006,weak,0.9990000000000001,,,,61.152,good,0.973,44.288000000000004,78.649,,52.456500000000005,61.152,78.649
173,ALAD,312.628,weak,0.981,,,,649.262,weak,0.95,317.367,weak,0.883,407.96,weak,0.966,,,,443.56,good,0.9620000000000001,267.786,good,0.95,,,,,,,312.628,483.31449999999995,407.96,355.673,,483.31449999999995
174,ALB,,,,,,,,,,,,,15.625,good,0.846,15.878,good,0.8809999999999999,,,,,,,,,,,,,,,15.7515,,,15.7515
175,ALCAM,,,,35.141,weak,0.998,,,,,,,38.809,good,0.995,38.088,good,0.998,19.003,weak,0.929,11.642999999999999,weak,0.9490000000000001,46.28,good,0.998,49.763999999999996,good,0.9990000000000001,35.141,,38.448499999999996,15.323,48.022,48.022
176,ALDH16A1,163.737,good,0.9990000000000001,179.486,good,0.9940000000000001,551.4590000000001,weak,0.996,,,,,,,,,,142.724,good,0.986,107.12799999999999,good,0.983,,,,,,,171.61149999999998,551.4590000000001,,124.92599999999999,,551.4590000000001
177,ALDH18A1,39.748000000000005,good,0.9670000000000001,56.141999999999996,good,0.998,216.453,weak,0.9229999999999999,176.703,weak,0.996,42.99,good,0.998,42.129,good,0.9940000000000001,,,,79.024,good,0.965,57.528999999999996,good,0.9990000000000001,59.416000000000004,good,0.9990000000000001,47.945,196.578,42.5595,79.024,58.4725,196.578
178,ALDH1A1,,,,,,,,,,,,,246.792,good,0.955,262.139,good,0.973,45.617,good,0.855,32.809,good,0.879,,,,,,,,,254.46550000000002,39.212999999999994,,254.46550000000002
179,ALDH1B1,83.11399999999999,weak,0.955,,,,,,,,,,144.901,good,0.997,146.898,good,0.998,198.683,good,0.924,138.553,weak,0.9640000000000001,67.23100000000001,good,0.9990000000000001,89.759,good,0.9990000000000001,83.11399999999999,,145.8995,168.618,78.495,168.618
180,ALDH2,39.128,good,0.9840000000000001,56.54,good,0.971,,,,,,,302.406,good,0.9690000000000001,417.707,good,0.995,56.003,good,0.985,46.931000000000004,good,0.972,74.431,good,0.998,93.848,good,0.996,47.834,,360.0565,51.467,84.1395,360.0565
181,ALDH3A2,74.645,weak,0.9570000000000001,77.87,good,0.996,,,,129.916,weak,0.9840000000000001,124.447,good,0.996,119.666,good,0.995,55.071000000000005,good,0.997,40.218,good,0.991,47.63399999999999,good,0.997,57.153999999999996,good,0.9990000000000001,76.2575,129.916,122.0565,47.64450000000001,52.39399999999999,129.916
182,ALDH4A1,,,,,,,,,,,,,192.40900000000002,good,0.9990000000000001,234.845,good,0.995,,,,,,,81.031,good,0.9990000000000001,102.04299999999999,good,0.998,,,213.627,,91.537,213.627
183,ALDH5A1,386.76800000000003,good,0.976,453.741,good,0.998,,,,432.02099999999996,good,0.972,243.46599999999998,good,0.99,304.329,good,0.992,,,,24.128,weak,0.977,75.658,good,1.0,99.626,good,0.998,420.2545,432.02099999999996,273.8975,24.128,87.642,432.02099999999996
184,ALDH6A1,149.267,weak,0.956,204.80900000000003,good,0.934,341.05300000000005,weak,0.9359999999999999,213.71900000000002,weak,0.996,300.199,good,0.995,370.461,good,0.9990000000000001,,,,122.338,good,0.963,96.74799999999999,good,0.9890000000000001,134.846,good,0.998,177.038,277.386,335.33000000000004,122.338,115.797,335.33000000000004
185,ALDH7A1,,,,,,,,,,,,,361.173,good,0.982,433.815,good,0.996,,,,223.59900000000002,weak,0.894,,,,189.50400000000002,good,1.0,,,397.494,223.59900000000002,189.50400000000002,397.494
186,ALDH9A1,453.667,good,0.9940000000000001,595.159,good,0.998,639.689,good,0.992,559.711,good,0.997,209.3,good,0.975,251.27200000000002,good,0.996,204.24599999999998,good,0.9620000000000001,175.78,good,0.976,87.97200000000001,good,0.995,125.304,good,1.0,524.413,599.7,230.286,190.01299999999998,106.638,599.7
187,ALDOA,81.27600000000001,good,0.977,105.33200000000001,good,0.997,465.654,good,0.998,385.61400000000003,good,0.9990000000000001,54.42100000000001,good,0.9990000000000001,52.345,good,0.99,129.255,good,0.986,107.975,good,0.972,47.236999999999995,good,0.9890000000000001,60.567,good,0.998,93.304,425.634,53.383,118.615,53.902,425.634
188,ALDOC,169.204,weak,0.97,234.942,good,0.98,413.32800000000003,good,0.9990000000000001,438.218,good,0.998,,,,,,,260.822,weak,0.95,,,,137.935,good,0.9570000000000001,238.15200000000002,good,0.958,202.073,425.773,,260.822,188.0435,425.773
189,ALG1,,,,,,,,,,,,,55.769,weak,0.9740000000000001,58.571000000000005,good,0.996,88.866,weak,0.96,,,,,,,44.992,weak,0.9890000000000001,,,57.17,88.866,44.992,88.866
190,ALG11,59.883,weak,0.965,,,,,,,,,,85.94,weak,0.972,94.584,weak,0.976,84.179,weak,0.925,,,,,,,47.047,weak,0.8690000000000001,59.883,,90.262,84.179,47.047,90.262
191,ALG13,,,,53.184,weak,0.997,,,,,,,,,,197.12099999999998,weak,0.8859999999999999,,,,46.158,weak,0.993,,,,93.758,weak,0.9109999999999999,53.184,,197.12099999999998,46.158,93.758,197.12099999999998
192,ALG2,43.293,weak,0.951,71.118,weak,0.9329999999999999,,,,,,,326.72,weak,1.0,373.74199999999996,weak,0.978,61.783,weak,0.988,47.343999999999994,weak,0.9590000000000001,43.448,good,1.0,45.596000000000004,good,0.9990000000000001,57.2055,,350.231,54.5635,44.522000000000006,350.231
193,ALG3,107.609,weak,0.982,,,,,,,324.892,weak,0.9670000000000001,,,,,,,102.116,weak,0.987,69.45,weak,0.991,,,,,,,107.609,324.892,,85.783,,324.892
194,ALG5,130.077,weak,0.988,153.952,weak,0.996,538.451,weak,0.8590000000000001,241.625,weak,0.9590000000000001,153.166,good,0.992,232.22099999999998,good,0.987,,,,62.027,weak,0.968,45.885,weak,0.888,73.215,good,0.992,142.0145,390.038,192.69349999999997,62.027,59.55,390.038
195,ALG6,326.749,weak,0.903,,,,521.455,weak,0.9,290.111,weak,0.972,168.31599999999997,weak,0.9690000000000001,210.155,weak,0.9179999999999999,148.435,weak,0.987,111.249,weak,0.983,,,,,,,326.749,405.783,189.2355,129.84199999999998,,405.783
196,ALG9,,,,,,,,,,,,,141.876,weak,0.956,140.59799999999998,weak,0.9620000000000001,,,,,,,,,,,,,,,141.237,,,141.237
